Código de Serviço;Descrição do Serviço (TI-IDEAL);Serviço Correspondente (Tabela IR Fonte);% IR Fonte;Fundamento Legal;Sujeito à Retenção de IR?
07.01.08;acompanhamento e fiscalização da execução de serviços de engenharia, arquitetura ou urbanismo;Arquitetura;1,50%;art. 647 RIR/1999;SIM
07.01.09;engenharia consultiva - acompanhamento e fiscalização da execução de serviços de engenharia, arquitetura e urbanismo (relacionados com obras de construção civil, hidráulicas, de escoramento ou de contenção de encostas);Arquitetura;1,50%;art. 647 RIR/1999;SIM
07.03.01;elaboração de planos diretores relacionados com serviços de engenharia não relacionados a obras de construção civil;Engenharia;1,50%;art. 647 RIR/1999;SIM
07.03.03;elaboração de estudos de viabilidade relacionados com serviços de engenharia não relacionados com obras de construção civil;Engenharia;1,50%;art. 647 RIR/1999;SIM
07.03.05;elaboração de estudos organizacionais e outros, relacionados com serviços de engenharia não relacionados com obras de construção civil;Engenharia;1,50%;art. 647 RIR/1999;SIM
07.03.07;elaboração de anteprojetos para trabalhos de engenharia não relacionados com obras de construção civil;Engenharia;1,50%;art. 647 RIR/1999;SIM
07.03.08;elaboração de projetos básicos para trabalhos de engenharia não relacionados com obras de construção civil;Engenharia;1,50%;art. 647 RIR/1999;SIM
07.03.09;elaboração de projetos executivos para trabalhos de engenharia não relacionados com obras de construção civil;Engenharia;1,50%;art. 647 RIR/1999;SIM
07.09.01;varrição de lixo, rejeitos ou outros resíduos quaisquer;Resíduos (coleta, operação de aterro sanitário e varrição de ruas);1,00%;SC n° 181/2001 - 9° RF/PR;SIM
07.09.02;coleta de resíduos lixo, rejeitos ou outros resíduos quaisquer;Resíduos Urbanos (coleta e disposição final);1,00%;SC n° 170/2006 - 9° RF/PR;SIM
07.09.03;remoção de lixo, rejeitos ou outros resíduos quaisquer;Resíduos Urbanos (coleta e disposição final);1,00%;SC n° 170/2006 - 9° RF/PR;SIM
07.09.06;reciclagem de lixo, rejeitos ou outros resíduos quaisquer;Resíduos Urbanos (coleta e disposição final);1,00%;SC n° 170/2006 - 9° RF/PR;SIM
07.09.08;destinação final de lixo, rejeitos ou outros resíduos quaisquer;Resíduos Urbanos (coleta e disposição final);1,00%;SC n° 170/2006 - 9° RF/PR;SIM
07.10.02;manutenção ou conservação de imóveis;Manutenção de imóveis;1,00%;IN RF n° 34/1989 e ADN CST n° 9/1990;SIM
07.10.07;limpeza de vias ou logradouros públicos;Limpeza e conservação de ruas e logradouros públicos;1,00%;ADI RF n° 4/2003;SIM
07.10.08;limpeza de imóveis;Limpeza e conservação de bens imóveis, exceto reformas e obras assemelhadas;1,00%;art. 649 RIR/1999;SIM
07.10.09;limpeza de chaminés;Limpeza e conservação de bens imóveis, exceto reformas e obras assemelhadas;1,00%;art. 649 RIR/1999;SIM
07.10.10;limpeza de piscinas;Limpeza e conservação de bens imóveis, exceto reformas e obras assemelhadas;1,00%;art. 649 RIR/1999;SIM
07.10.11;limpeza de parques;Limpeza e conservação de ruas e logradouros públicos;1,00%;ADI RF n° 4/2003;SIM
07.10.12;limpeza de jardins;Limpeza e conservação de bens imóveis, exceto reformas e obras assemelhadas;1,00%;art. 649 RIR/1999;SIM
07.19.01;acompanhamento e fiscalização da execução de obras de engenharia, arquitetura ou urbanismo;Arquitetura;1,50%;art. 647 RIR/1999;SIM
08.01.01;ensino pré-escolar;Ensino;1,50%;art. 647 RIR/1999;SIM
08.01.02;ensino fundamental;Ensino;1,50%;art. 647 RIR/1999;SIM
08.01.03;ensino médio;Ensino;1,50%;art. 647 RIR/1999;SIM
08.01.04;ensino superior;Ensino;1,50%;art. 647 RIR/1999;SIM
08.01.05;ensino regular à distância;Ensino;1,50%;art. 647 RIR/1999;SIM
08.02.01;instrução;Ensino;1,50%;art. 647 RIR/1999;SIM
08.02.02;treinamento;Treinamento;1,50%;art. 647 RIR/1999;SIM
08.02.06;ensino técnico;Ensino;1,50%;art. 647 RIR/1999;SIM
08.02.07;ensino tecnológico;Ensino;1,50%;art. 647 RIR/1999;SIM
08.02.08;ensino de música;Ensino;1,50%;art. 647 RIR/1999;SIM
08.02.09;ensino de artes;Ensino;1,50%;art. 647 RIR/1999;SIM
